veh256	2021-07-28 00:04:30	396.84	698.92	70	82.836
veh257	2021-07-28 00:04:30	1547.96	252.98	70	55.008
veh39	2021-07-28 00:04:30	1111.6	947.67	70	0.000
veh46	2021-07-28 00:04:30	1352.24	998.95	70	25.308
veh49	2021-07-28 00:04:30	762.75	966.51	70	5.616
veh61	2021-07-28 00:04:30	686.69	714.54	70	78.156
veh77	2021-07-28 00:04:30	1111.22	932.67	70	0.000
veh79	2021-07-28 00:04:30	744.48	351.75	70	39.708
veh8	2021-07-28 00:04:30	1332.78	365.74	70	49.104
veh101	2021-07-28 00:04:31	1294.96	326.11	70	0.000
veh102	2021-07-28 00:04:31	256.53	979.71	70	69.768
veh106	2021-07-28 00:04:31	727.51	473.74	70	39.348
veh118	2021-07-28 00:04:31	1081.86	401.79	70	45.648
veh124	2021-07-28 00:04:31	1102.58	624.1	70	50.184
veh126	2021-07-28 00:04:31	1109.02	843.7	70	48.780
veh130	2021-07-28 00:04:31	546.32	718.45	70	52.524
veh133	2021-07-28 00:04:31	1090.9	734.93	70	0.000
veh134	2021-07-28 00:04:31	1090.52	719.93	70	0.000
veh137	2021-07-28 00:04:31	1082.83	438.89	70	40.644
veh138	2021-07-28 00:04:31	582.53	599.06	70	20.988
veh139	2021-07-28 00:04:31	1110.82	916.27	70	16.164
veh144	2021-07-28 00:04:31	1083.38	460.26	70	44.676
veh145	2021-07-28 00:04:31	1111.04	925.17	70	0.000
veh149	2021-07-28 00:04:31	1098.56	478.29	70	0.000
veh152	2021-07-28 00:04:31	669.86	708.6	70	75.528
veh154	2021-07-28 00:04:31	603.39	959.82	70	0.000
veh156	2021-07-28 00:04:31	1064.3	701.06	70	49.212
veh161	2021-07-28 00:04:31	602.61	926.84	70	46.440
veh163	2021-07-28 00:04:31	1121.52	678.07	70	46.764
veh165	2021-07-28 00:04:31	1118.89	692.77	70	0.000
veh168	2021-07-28 00:04:31	1065.69	694.62	70	48.924
veh169	2021-07-28 00:04:31	660.89	705.64	70	85.248
veh170	2021-07-28 00:04:31	752.0	963.58	70	13.464
veh171	2021-07-28 00:04:31	602.06	903.63	70	47.412
veh173	2021-07-28 00:04:31	969.98	339.99	70	31.644
veh174	2021-07-28 00:04:31	1123.83	684.41	70	48.024
veh176	2021-07-28 00:04:31	1090.71	727.43	70	0.000
veh178	2021-07-28 00:04:31	1098.36	470.79	70	0.000
veh179	2021-07-28 00:04:31	1103.38	653.5	70	21.420
veh180	2021-07-28 00:04:31	1062.69	697.91	70	49.572
veh182	2021-07-28 00:04:31	1080.39	345.36	70	0.720
veh184	2021-07-28 00:04:31	735.76	565.85	70	35.892
veh185	2021-07-28 00:04:31	1080.76	359.71	70	34.776
veh187	2021-07-28 00:04:31	1095.12	695.23	70	32.436
veh188	2021-07-28 00:04:31	586.65	529.44	70	34.524
veh189	2021-07-28 00:04:31	595.13	685.39	70	0.000
veh190	2021-07-28 00:04:31	1091.09	742.43	70	0.000
veh191	2021-07-28 00:04:31	1126.39	692.57	70	0.000
veh193	2021-07-28 00:04:31	1099.2	677.35	70	41.760
veh195	2021-07-28 00:04:31	992.6	339.28	70	35.100
veh196	2021-07-28 00:04:31	1078.82	955.08	70	0.000
veh197	2021-07-28 00:04:31	1110.48	902.45	70	35.280
veh198	2021-07-28 00:04:31	591.86	588.66	70	32.436
veh200	2021-07-28 00:04:31	1098.15	463.29	70	0.000
veh201	2021-07-28 00:04:31	1084.9	698.08	70	43.704
veh202	2021-07-28 00:04:31	881.37	504.18	70	20.016
veh203	2021-07-28 00:04:31	1095.44	701.63	70	35.964
veh205	2021-07-28 00:04:31	1124.09	681.2	70	46.404
veh206	2021-07-28 00:04:31	778.58	966.1	70	33.336
veh207	2021-07-28 00:04:31	1091.81	770.39	70	45.792
veh209	2021-07-28 00:04:31	889.42	461.57	70	54.000
veh210	2021-07-28 00:04:31	755.94	913.25	70	34.920
veh211	2021-07-28 00:04:31	1112.7	695.82	70	27.072
veh213	2021-07-28 00:04:31	1096.78	964.27	70	0.000
veh214	2021-07-28 00:04:31	1098.85	683.73	70	39.708
veh215	2021-07-28 00:04:31	755.32	893.68	70	35.712
veh216	2021-07-28 00:04:31	589.04	505.33	70	0.000
veh217	2021-07-28 00:04:31	1133.89	692.37	70	0.000
veh218	2021-07-28 00:04:31	1084.77	679.91	70	35.676
veh219	2021-07-28 00:04:31	1096.49	402.74	70	50.184
veh220	2021-07-28 00:04:31	892.7	498.52	70	16.056
veh221	2021-07-28 00:04:31	785.44	507.08	70	72.180
veh222	2021-07-28 00:04:31	590.77	556.7	70	48.780
veh223	2021-07-28 00:04:31	594.74	725.99	70	0.036
veh225	2021-07-28 00:04:31	731.98	498.9	70	0.000
veh227	2021-07-28 00:04:31	1106.06	698.8	70	34.020
veh228	2021-07-28 00:04:31	1115.32	702.97	70	27.900
veh229	2021-07-28 00:04:31	731.6	491.41	70	0.000
veh230	2021-07-28 00:04:31	613.57	350.18	70	40.356
veh232	2021-07-28 00:04:31	1256.53	329.34	70	78.444
veh233	2021-07-28 00:04:31	720.52	506.04	70	0.000
veh234	2021-07-28 00:04:31	750.43	840.61	70	52.092
veh235	2021-07-28 00:04:31	593.27	350.91	70	35.280
veh237	2021-07-28 00:04:31	482.06	970.63	70	80.064
veh239	2021-07-28 00:04:31	1397.25	323.43	70	69.804
